Sample_Ref,Priority_sample,Date_Collected,Recorder,Assistant,Sampling_site,Start_Time,Latitude,Longitude,What3Words,Water_Temp_DegC,pH,ORP_mV,Conductivity,Phos_1,Phos_2,Phos_3,Phos_AV,Nitr_1,Nitr_2,Nitr_3,Nitr_AV,Depth1_cm,Depth2_cm,Depth3_cm,Depth4_cm,DepthMean_cm,Met_Temp_DegC,Met_WindSpd_mph,Met_WindDir,Met_UV,Met_Pres_mb,Met_Hum_%,Obs_Weather,Obs_Pollution,Obs_Other,Photo_Up,Photo_Down,Photo_Across,Sample_Type,Sample_Vol_mL,Time_in_fridge,Time_to_fridge,Time_Filtered,Time_to_filtration,Vol_filtered_mL,Date_Extracted,Time_to_extraction_days,Date_of_PCR,PCR_Plate,PCR_Code,PCR_Replicates,Cq_R1,Cq_R2,Cq_R3,Cq_AV,Rel_log_conc,Adj_conc,KS2_HOG_Category,KS2_HOG_Count,KS2_HOG_Score,KS2_TotalScore,KS2_SpRich,NOTES1,NOTES2
W-141023-S2-P2,,14/10/2023,BD,AM,URF-Site2_Mid,10:55,51.560869,-0.034491,trendy.event.counts,,,,,,,,,,,,,45,,,,45,12,9,WNW,L,1017,61,Sunny and cool after a week of mixed weather including unseasonably warm temperatures and lots of rain over last couple of days. ,,"Dog in water just before sampling. 

Newly felled tree just upstream of site. ",Y,Y,Y,Edge_Depth,1000,12:25,01:30,14:15,03:20,470,,,,,,,,,,,,,,,,,,"The reader failed to detect any of the probes, so no physico-chemical readings were taken. 

Only three (larger) subsamples were taken as the river was too deep and fast-flowing beyond the third point. ","For all river samples on 14/10/23, the filter clogged around halfway through the litre, so only part-samples were filtered. "
W-141023-S2-P3,,14/10/2023,BD,AM,URF-Site2_Mid,10:55,51.560869,-0.034491,trendy.event.counts,,,,,,,,,,,,,45,53,62,,53.3,12,9,WNW,L,1017,61,Sunny and cool after a week of mixed weather including unseasonably warm temperatures and lots of rain over last couple of days. ,,"Dog in water just before sampling. 

Newly felled tree just upstream of site. ",Y,Y,Y,Transect_Depth,1000,12:25,01:30,14:15,03:20,410,,,,,,,,,,,,,,,,,,"The reader failed to detect any of the probes, so no physico-chemical readings were taken. 

Only three (larger) subsamples were taken as the river was too deep and fast-flowing beyond the third point. ","For all river samples on 14/10/23, the filter clogged around halfway through the litre, so only part-samples were filtered. "
W-141023-S1-P1,,14/10/2023,BD,AM,URF-Site1_Upstream,11:30,51.561516,-0.043596,risks.cabin.reform,,,,,,,,,,,,,31,,,,31,12,9,WNW,L,1017,61,Sunny and cool after a week of mixed weather including unseasonably warm temperatures and lots of rain over last couple of days. ,Some foam upstream at the weir. ,"
Recently pruned fig tree, some prunings in water. 

Egret. Water very fast flowing at far bank. ",Y,Y,Y,Edge_Surface,1000,12:25,00:55,15:00,03:30,540,,,,,,,,,,,,,,,,,,"The reader failed to detect any of the probes, so no physico-chemical readings were taken. 

Four subsamples were taken but from only the first half of the river width, as the river was too deep and fast-flowing beyond that point. ","For all river samples on 14/10/23, the filter clogged around halfway through the litre, so only part-samples were filtered. "
W-141023-S1-P2,,14/10/2023,BD,AM,URF-Site1_Upstream,11:30,51.561516,-0.043596,risks.cabin.reform,,,,,,,,,,,,,31,,,,31,12,9,WNW,L,1017,61,Sunny and cool after a week of mixed weather including unseasonably warm temperatures and lots of rain over last couple of days. ,Some foam upstream at the weir. ,"
Recently pruned fig tree, some prunings in water. 

Egret. Water very fast flowing at far bank. ",Y,Y,Y,Edge_Depth,1000,12:25,00:55,15:00,03:30,540,,,,,,,,,,,,,,,,,,"The reader failed to detect any of the probes, so no physico-chemical readings were taken. 

Four subsamples were taken but from only the first half of the river width, as the river was too deep and fast-flowing beyond that point. ","For all river samples on 14/10/23, the filter clogged around halfway through the litre, so only part-samples were filtered. "
W-141023-S1-P3,,14/10/2023,BD,AM,URF-Site1_Upstream,11:30,51.561516,-0.043596,risks.cabin.reform,,,,,,,,,,,,,31,42,42,50,41.3,12,9,WNW,L,1017,61,Sunny and cool after a week of mixed weather including unseasonably warm temperatures and lots of rain over last couple of days. ,Some foam upstream at the weir. ,"
Recently pruned fig tree, some prunings in water. 

Egret. Water very fast flowing at far bank. ",Y,Y,Y,Transect_Depth,1000,12:25,00:55,15:00,03:30,450,,,,,,,,,,,,,,,,,,"The reader failed to detect any of the probes, so no physico-chemical readings were taken. 

Four subsamples were taken but from only the first half of the river width, as the river was too deep and fast-flowing beyond that point. ","For all river samples on 14/10/23, the filter clogged around halfway through the litre, so only part-samples were filtered. "
NFC-141023-0-4,,14/10/2023,BD,N/A,N/A,11:50,51.561516,-0.043596,risks.cabin.reform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negative_Field_Control,1000,12:25,00:35,15:40,03:50,1000,,,,,,,,,,,,,,,,,,NFC pot opened and closed at URF Site 1 at the end of river sampling. ,
FC-141023-0-6,,14/10/2023,BD,N/A,N/A,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Filtration_Control,1000,,,16:05,00:05,1000,,,,,,,,,,,,,,,,,,Lab pure water filtered at end of filtering session. ,
W-130124-S4-P1,,13/01/2024,BD,AM,URF-Site4_Downstream,08:40,51.560816,-0.028378,pages.chair.stones,6.6,7.72,160,851,1.07,1.08,1.09,1.08,0.001,,,0.001,42,,,,42,2,5,WNW,L,1027,83,"Overcast, cold, dry day after a week of similar weather, following a very wet early January with lots of flooding. ",,Trees/vegetation on opposite bank have been cleared. Homeless camp (?) on opposite bank. ,Y,Y,Y,Edge_Surface,1000,11:00,02:20,11:50,03:10,475,,,,,,,,,,,,,,,,,,"Moved entry point slightly downstream compared with previous months as easier to get down the slippery bank and into the water. 
ORP probe not settling - rough average measurement recorded - may need to discard ORP data","For all river samples on 13/01/24, the filter clogged fairly quickly so only part-samples were filtered. "
W-130124-S4-P2,,13/01/2024,BD,AM,URF-Site4_Downstream,08:40,51.560816,-0.028378,pages.chair.stones,6.6,7.72,160,851,1.07,1.08,1.09,1.08,0.001,,,0.001,42,,,,42,2,5,WNW,L,1027,83,"Overcast, cold, dry day after a week of similar weather, following a very wet early January with lots of flooding. ",,Trees/vegetation on opposite bank have been cleared. Homeless camp (?) on opposite bank. ,Y,Y,Y,Edge_Depth,1000,11:00,02:20,11:50,03:10,175,,,,,,,,,,,,,,,,,,"Moved entry point slightly downstream compared with previous months as easier to get down the slippery bank and into the water. 
ORP probe not settling - rough average measurement recorded - may need to discard ORP data","For all river samples on 13/01/24, the filter clogged fairly quickly so only part-samples were filtered. "
W-130124-S4-P3,,13/01/2024,BD,AM,URF-Site4_Downstream,08:40,51.560816,-0.028378,pages.chair.stones,6.6,7.72,160,851,1.07,1.08,1.09,1.08,0.001,,,0.001,42,62,,,52,2,5,WNW,L,1027,83,"Overcast, cold, dry day after a week of similar weather, following a very wet early January with lots of flooding. ",,Trees/vegetation on opposite bank have been cleared. Homeless camp (?) on opposite bank. ,Y,Y,Y,Transect_Depth,1000,11:00,02:20,11:50,03:10,250,,,,,,,,,,,,,,,,,,"Moved entry point slightly downstream compared with previous months as easier to get down the slippery bank and into the water. 
ORP probe not settling - rough average measurement recorded - may need to discard ORP data","For all river samples on 13/01/24, the filter clogged fairly quickly so only part-samples were filtered. "
W-130124-S2-P1,Y,13/01/2024,BD,AM,URF-Site2_Mid,09:35,51.560869,-0.034491,trendy.event.counts,7.1,,71,951,1.67,1.73,1.76,1.72,0.002,,,0.002,23,,,,23,2,5,WNW,L,1027,83,"Overcast, cold, dry day after a week of similar weather, following a very wet early January with lots of flooding. ",,,Y,Y,Y,Edge_Surface,1000,11:00,01:25,12:35,03:00,80,04/06/2024,143,30/07/2024,1,JAN-P1,3,30.821,30.783,30.532,30.712,2.163,3.25955,10<100,50,1,8,7,pH not measured because mud got into connector. ORP probe not settling - rough average measurement recorded - may need to discard ORP data,"For all river samples on 13/01/24, the filter clogged fairly quickly so only part-samples were filtered. "
W-130124-S2-P2,Y,13/01/2024,BD,AM,URF-Site2_Mid,09:35,51.560869,-0.034491,trendy.event.counts,7.1,,71,951,1.67,1.73,1.76,1.72,0.002,,,0.002,23,,,,23,2,5,WNW,L,1027,83,"Overcast, cold, dry day after a week of similar weather, following a very wet early January with lots of flooding. ",,,Y,Y,Y,Edge_Depth,1000,11:00,01:25,12:35,03:00,340,04/06/2024,143,30/07/2024,1,JAN-P2,3,29.559,29.463,29.45,29.491,2.542,3.01006,10<100,50,1,8,7,pH not measured because mud got into connector. ORP probe not settling - rough average measurement recorded - may need to discard ORP data,"For all river samples on 13/01/24, the filter clogged fairly quickly so only part-samples were filtered. "
W-130124-S2-P3,Y,13/01/2024,BD,AM,URF-Site2_Mid,09:35,51.560869,-0.034491,trendy.event.counts,7.1,,71,951,1.67,1.73,1.76,1.72,0.002,,,0.002,23,27,41,49,35,2,5,WNW,L,1027,83,"Overcast, cold, dry day after a week of similar weather, following a very wet early January with lots of flooding. ",,,Y,Y,Y,Transect_Depth,1000,11:00,01:25,12:35,03:00,300,04/06/2024,143,30/07/2024,1,JAN-P3,3,NA,NA,NA,NA,NA,NA,10<100,50,1,8,7,pH not measured because mud got into connector. ORP probe not settling - rough average measurement recorded - may need to discard ORP data,"For all river samples on 13/01/24, the filter clogged fairly quickly so only part-samples were filtered. "
W-130124-S1-P1,,13/01/2024,BD,AM,URF-Site1_Upstream,10:00,51.561516,-0.043596,risks.cabin.reform,7.8,,70,953,1.74,1.81,1.73,1.76,0.001,,,0.001,18,,,,18,2,5,WNW,L,1027,83,"Overcast, cold, dry day after a week of similar weather, following a very wet early January with lots of flooding. ",Small amount of bubbles/foam from weir. ,Water quite shallow but very rapid ,Y,Y,,Edge_Surface,1000,11:00,01:00,13:25,03:25,300,,,,,,,,,,,,,,,,,,pH not measured because mud got into connector. ORP probe not settling - rough average measurement recorded - may need to discard ORP data,"For all river samples on 13/01/24, the filter clogged fairly quickly so only part-samples were filtered. "
W-130124-S1-P2,,13/01/2024,BD,AM,URF-Site1_Upstream,10:00,51.561516,-0.043596,risks.cabin.reform,7.8,,70,953,1.74,1.81,1.73,1.76,0.001,,,0.001,18,,,,18,2,5,WNW,L,1027,83,"Overcast, cold, dry day after a week of similar weather, following a very wet early January with lots of flooding. ",Small amount of bubbles/foam from weir. ,Water quite shallow but very rapid ,Y,Y,,Edge_Depth,1000,11:00,01:00,13:25,03:25,340,,,,,,,,,,,,,,,,,,pH not measured because mud got into connector. ORP probe not settling - rough average measurement recorded - may need to discard ORP data,"For all river samples on 13/01/24, the filter clogged fairly quickly so only part-samples were filtered. "
W-130124-S1-P3,,13/01/2024,BD,AM,URF-Site1_Upstream,10:00,51.561516,-0.043596,risks.cabin.reform,7.8,,70,953,1.74,1.81,1.73,1.76,0.001,,,0.001,18,16,27,23,21,2,5,WNW,L,1027,83,"Overcast, cold, dry day after a week of similar weather, following a very wet early January with lots of flooding. ",Small amount of bubbles/foam from weir. ,Water quite shallow but very rapid ,Y,Y,,Transect_Depth,1000,11:00,01:00,13:25,03:25,320,,,,,,,,,,,,,,,,,,pH not measured because mud got into connector. ORP probe not settling - rough average measurement recorded - may need to discard ORP data,"For all river samples on 13/01/24, the filter clogged fairly quickly so only part-samples were filtered. "
NFC-130124-0-4,Y,13/01/2024,BD,N/A,N/A,10:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negative_Field_Control,1000,11:00,00:35,14:00,03:35,1000,04/06/2024,143,30/07/2024,1,JAN-NFC,3,NA,NA,NA,NA,NA,NA,,,,,,NFC pot opened and closed at URF Site 1 at the end of river sampling. ,
FC-130124-0-6,Y,13/01/2024,BD,N/A,N/A,14:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Filtration_Control,1000,,,14:25,00:05,1000,04/06/2024,143,30/07/2024,1,JAN-FC,3,NA,NA,NA,NA,NA,NA,,,,,,Lab pure water filtered at end of filtering session. ,
W-090324-S4-P1,,09/03/2024,BD,AM,URF-Site4_Downstream,08:40,51.560842,-0.028508,lows.beans.spaces,12.6,7.46,180.5,842,1.26,1.16,1.16,1.19,0.002,,,0.002,42,,,,42,10,9,E,L,995,69,"Overcast to begin with, with sun coming out later in the morning. Still and dry. Past few days dry. ",No obvious signs of pollution,"People fishing upstream. Homeless camp direectly opposite the sampling site; lots of rubbish on the bank. 
River fast-flowing. Pair of Egyptian geese on the island. ",Y,Y,Y,Edge_Surface,1000,10:55,02:15,11:55,03:15,485,,,,,,,,,,,,,,,,,,,
W-090324-S4-P2,,09/03/2024,BD,AM,URF-Site4_Downstream,08:40,51.560842,-0.028508,lows.beans.spaces,12.6,7.46,180.5,842,1.26,1.16,1.16,1.19,0.002,,,0.002,42,,,,42,10,9,E,L,995,69,"Overcast to begin with, with sun coming out later in the morning. Still and dry. Past few days dry. ",No obvious signs of pollution,"People fishing upstream. Homeless camp direectly opposite the sampling site; lots of rubbish on the bank. 
River fast-flowing. Pair of Egyptian geese on the island. ",Y,Y,Y,Edge_Depth,1000,10:55,02:15,11:55,03:15,345,,,,,,,,,,,,,,,,,,,
W-090324-S4-P3,,09/03/2024,BD,AM,URF-Site4_Downstream,08:40,51.560842,-0.028508,lows.beans.spaces,12.6,7.46,180.5,842,1.26,1.16,1.16,1.19,0.002,,,0.002,42,42,67,,50.3,10,9,E,L,995,69,"Overcast to begin with, with sun coming out later in the morning. Still and dry. Past few days dry. ",No obvious signs of pollution,"People fishing upstream. Homeless camp direectly opposite the sampling site; lots of rubbish on the bank. 
River fast-flowing. Pair of Egyptian geese on the island. ",Y,Y,Y,Transect_Depth,1000,10:55,02:15,11:55,03:15,200,,,,,,,,,,,,,,,,,,Still not comfortable wading out far from the bank at this site - deep and fast-flowing channel just beyond the nearside bank. Transect sample is for 3 subsample points all relatively close to the bank. ,
W-090324-S2-P1,Y,09/03/2024,BD,AM,URF-Site2_Mid,09:15,51.560869,-0.034491,trendy.event.counts,9.9,7.76,169.2,920,1.49,1.49,1.45,1.48,0,,,0,32,,,,32,10,9,E,L,995,69,"Overcast to begin with, with sun coming out later in the morning. Still and dry. Past few days dry. ",No obvious signs of pollution,Pair of teal. Egrets downstream. ,Y,Y,Y,Edge_Surface,1000,10:55,01:40,12:30,03:15,490,06/06/2024,89,30/07/2024,1,MAR-P1,3,NA,NA,NA,NA,NA,NA,10<100,40,1,9,8,,
W-090324-S2-P2,Y,09/03/2024,BD,AM,URF-Site2_Mid,09:15,51.560869,-0.034491,trendy.event.counts,9.9,7.76,169.2,920,1.49,1.49,1.45,1.48,0,,,0,32,,,,32,10,9,E,L,995,69,"Overcast to begin with, with sun coming out later in the morning. Still and dry. Past few days dry. ",No obvious signs of pollution,Pair of teal. Egrets downstream. ,Y,Y,Y,Edge_Depth,1000,10:55,01:40,12:30,03:15,495,06/06/2024,89,30/07/2024,1,MAR-P2,3,29.054,28.887,30.742,29.561,2.52,2.82519,10<100,40,1,9,8,,
W-090324-S2-P3,Y,09/03/2024,BD,AM,URF-Site2_Mid,09:15,51.560869,-0.034491,trendy.event.counts,9.9,7.76,169.2,920,1.49,1.49,1.45,1.48,0,,,0,32,40,40,60,43,10,9,E,L,995,69,"Overcast to begin with, with sun coming out later in the morning. Still and dry. Past few days dry. ",No obvious signs of pollution,Pair of teal. Egrets downstream. ,Y,Y,Y,Transect_Depth,1000,10:55,01:40,12:30,03:15,310,06/06/2024,89,30/07/2024,1,MAR-P3,3,29.678,29.193,NA,29.436,2.559,3.06721,10<100,40,1,9,8,"Transect sample extends relatively far into the river, but not reaching the far bank because of the faster-flowing and deeper water towards the far side. ",One PCR replicate did not amplify target gene
W-090324-S1-P1,,09/03/2024,BD,AM,URF-Site1_Upstream,09:45,51.561516,-0.043596,risks.cabin.reform,10.4,7.76,145.1,917,2.12,1.56,1.55,1.74,0.001,,,0.001,22,,,,22,10,9,E,L,995,69,"Overcast to begin with, with sun coming out later in the morning. Still and dry. Past few days dry. ",Large piece of green rubbish (plastic?) in middle of river. ,,Y,Y,Y,Edge_Surface,1000,10:55,01:10,13:10,03:25,500,,,,,,,,,,,,,,,,,,,
W-090324-S1-P2,,09/03/2024,BD,AM,URF-Site1_Upstream,09:45,51.561516,-0.043596,risks.cabin.reform,10.4,7.76,145.1,917,2.12,1.56,1.55,1.74,0.001,,,0.001,22,,,,22,10,9,E,L,995,69,"Overcast to begin with, with sun coming out later in the morning. Still and dry. Past few days dry. ",Large piece of green rubbish (plastic?) in middle of river. ,,Y,Y,Y,Edge_Depth,1000,10:55,01:10,13:10,03:25,450,,,,,,,,,,,,,,,,,,,
W-090324-S1-P3,,09/03/2024,BD,AM,URF-Site1_Upstream,09:45,51.561516,-0.043596,risks.cabin.reform,10.4,7.76,145.1,917,2.12,1.56,1.55,1.74,0.001,,,0.001,22,21,22,30,23.8,10,9,E,L,995,69,"Overcast to begin with, with sun coming out later in the morning. Still and dry. Past few days dry. ",Large piece of green rubbish (plastic?) in middle of river. ,,Y,Y,Y,Transect_Depth,1000,10:55,01:10,13:10,03:25,455,,,,,,,,,,,,,,,,,,"Transect sample extends to roughly halfway across the river width, due to very fast-flowing water. Not deep, but powerful flow. ",
NFC-090324-0-4,Y,09/03/2024,BD,N/A,N/A,10:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negative_Field_Control,1000,10:55,00:45,13:55,03:45,1000,28/06/2024,111,30/07/2024,1,MAR-NFC,3,NA,NA,NA,NA,NA,NA,,,,,,NFC pot opened and closed at URF Site 1 at the end of river sampling. ,
FC-090324-0-6,Y,09/03/2024,BD,N/A,N/A,14:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Filtration_Control,1000,,,14:10,00:05,1000,28/06/2024,111,30/07/2024,1,MAR-FC,3,NA,NA,NA,NA,NA,NA,,,,,,Lab pure water filtered at end of filtering session. ,
W-130424-S4-P1,,13/04/2024,BD,AM,URF-Site4_Downstream,08:30,51.560842,-0.028508,lows.beans.spaces,16.7,7.63,,847,1.99,2.14,,2.07,0.002,0.006,,0.004,15,,,,15,17,12,SW,M,1021,64,"Warm and dry, sun with cloud. ",Small surface bubbles/foam in the faster channels. ,Lots of birdsong. Chiffchaffs,Y,Y,Y,Edge_Surface,1000,11:10,02:40,11:45,03:15,400,,,,,,,,,,,,,,,,,,"ORP probe failed to stabilise. Final figure showing on the meter was 94.5, but not taken as final value as didn't stabilise. ",
W-130424-S4-P2,,13/04/2024,BD,AM,URF-Site4_Downstream,08:30,51.560842,-0.028508,lows.beans.spaces,16.7,7.63,,847,1.99,2.14,,2.07,0.002,0.006,,0.004,15,,,,15,17,12,SW,M,1021,64,"Warm and dry, sun with cloud. ",Small surface bubbles/foam in the faster channels. ,Lots of birdsong. Chiffchaffs,Y,Y,Y,Edge_Depth,1000,11:10,02:40,11:45,03:15,550,,,,,,,,,,,,,,,,,,"ORP probe failed to stabilise. Final figure showing on the meter was 94.5, but not taken as final value as didn't stabilise. ",
W-130424-S4-P3,,13/04/2024,BD,AM,URF-Site4_Downstream,08:30,51.560842,-0.028508,lows.beans.spaces,16.7,7.63,,847,1.99,2.14,,2.07,0.002,0.006,,0.004,15,47,75,,45.7,17,12,SW,M,1021,64,"Warm and dry, sun with cloud. ",Small surface bubbles/foam in the faster channels. ,Lots of birdsong. Chiffchaffs,Y,Y,Y,Transect_Depth,1000,11:10,02:40,11:45,03:15,200,,,,,,,,,,,,,,,,,,"ORP probe failed to stabilise. Final figure showing on the meter was 94.5, but not taken as final value as didn't stabilise. ","First filter clogged v.quickly so did an extra filter. 50ml through first filter, 150ml through second. "
W-130424-S2-P1,Y,13/04/2024,BD,AM,URF-Site2_Mid,09:00,51.560869,-0.034491,trendy.event.counts,15.5,7.89,113.8,912,2.14,2.86,,2.5,0.003,0.003,,0.003,29,,,,29,17,12,SW,M,1021,64,"Warm and dry, sun with cloud. ",,Heron. Birdsong - wren and blackbird. River vegetation now visible from bank in the sunlight. ,Y,Y,Y,Edge_Surface,1000,11:10,02:10,12:40,03:40,600,06/06/2024,54,30/07/2024,2,APR-P1,3,NA,NA,NA,NA,NA,NA,10<100,20,1,10,8,,
